id,isAnchor,x,y,z
0x6743,1,0.0,10.0,1.0
0x674c,1,10.0,10.01,1.0
0x672a,1,10.0,0.0,1.0
0x6757,1,0.0,10.0,1.0
0x675b,1,0.0,10.0,1.0
0x6704,1,0.0,10.0,1.0
